,state_id
46, ak
17, al
35, ar
56, ar-mo
51, ar-ok
34, az
21, ca
6, co
45, ct
50, dc
81, dc-va-md-wv
27, de
33, fl
0, ga
71, ga-al
77, ga-sc
7, hi
12, ia
75, ia-il
97, ia-il-mo
66, ia-ne-sd
38, id
96, id-wa
18, il
55, il-in-wi
94, il-mo
2, in
89, in-ky
59, in-mi
14, ks
24, ky
93, ky-il
86, ky-in
1, la
44, ma
82, ma-ct
80, ma-nh
22, md
73, md-de
53, md-wv
28, me
26, mi
101, mi-wi
4, mn
79, mn-wi
32, mo
69, mo-il
60, mo-ks
19, ms
98, ms-la
9, mt
23, nc
54, nc-sc
41, nd
87, nd-mn
47, ne
68, ne-ia
37, nh
70, nh-vt
43, nj
42, nm
40, nv
5, ny
61, ny-nj-pa
10, oh
65, oh-ky-in
83, oh-pa
16, ok
36, or
99, or-id
64, or-wa
11, pa
57, pa-nj
72, pa-nj-de-md
49, ri
85, ri-ma
25, sc
58, sc-nc
30, sd
20, tn
78, tn-ga
74, tn-ky
63, tn-ms-ar
62, tn-va
3, tx
52, tx-ar
39, ut
92, ut-id
15, va
84, va-nc
90, va-wv
31, vt
8, wa
13, wi
95, wi-mi
67, wi-mn
29, wv
88, wv-ky-oh
76, wv-oh
91, wv-va
48, wy
100, wy-id
